amostra,valor_real,valor_predito,valor_predito_corrigido
amostra_0221_1373.59.csv,1373.59,1421.0806,1464.908
amostra_0224_2690.85.csv,2690.85,2688.068,2637.9731
amostra_0229_2115.41.csv,2115.41,2311.396,2292.3206
amostra_0234_1852.40.csv,1852.4,2071.6958,2070.9956
amostra_0241_1820.40.csv,1820.4,1900.4812,1912.2568
amostra_0242_3674.97.csv,3674.97,3646.8694,3505.993
amostra_0253_2876.45.csv,2876.45,3081.8613,2996.5356
amostra_0257_1827.70.csv,1827.7,1729.2667,1752.9766
amostra_0259_1900.77.csv,1900.77,1917.6027,1928.155
amostra_0261_2141.38.csv,2141.38,2123.06,2118.5117
amostra_0267_2140.55.csv,2140.55,2123.06,2118.5117
amostra_0291_1730.96.csv,1730.96,1609.4165,1641.1583
amostra_0295_2954.12.csv,2954.12,3081.8613,2996.5356
amostra_0299_1311.30.csv,1311.3,1266.9874,1320.2158
amostra_0302_1923.59.csv,1923.59,1986.0885,1991.6941
amostra_0306_2636.09.csv,2636.09,2670.9465,2622.3186
amostra_0312_2523.04.csv,2523.04,2568.2178,2528.277
amostra_0318_3036.02.csv,3036.02,4143.3916,3948.8308
amostra_0319_2627.89.csv,2627.89,2756.5537,2700.5376
amostra_0327_2443.80.csv,2443.8,2688.068,2637.9731
amostra_0332_1937.16.csv,1937.16,2277.153,2260.7676
amostra_0336_2694.71.csv,2694.71,2807.9182,2747.404
amostra_0343_2310.68.csv,2310.68,2533.9749,2496.8865
amostra_0345_1895.30.csv,1895.3,1831.9954,1848.6096
amostra_0346_3976.83.csv,3976.83,3972.177,3796.6426
amostra_0350_2875.35.csv,2875.35,2893.5254,2825.4065
amostra_0353_3169.02.csv,3169.02,3116.1042,3027.5798
amostra_0356_4116.59.csv,4116.59,4211.8774,4009.5547
amostra_0360_1616.30.csv,1616.3,1660.7809,1689.1129
amostra_0365_2871.06.csv,2871.06,3030.497,2949.9292
amostra_0368_1746.61.csv,1746.61,1643.6594,1673.1334
amostra_0381_2301.19.csv,2301.19,2311.396,2292.3206
amostra_0386_3380.46.csv,3380.46,3458.5334,3336.8289
amostra_0387_2393.57.csv,2393.57,2294.2747,2276.5469
amostra_0391_2737.07.csv,2737.07,2893.5254,2825.4065
amostra_0394_2887.08.csv,2887.08,3133.2258,3043.0938
amostra_0395_1372.27.csv,1372.27,1489.5664,1529.0747
amostra_0401_2823.10.csv,2823.1,2859.2825,2794.2217
amostra_0402_1876.94.csv,1876.94,1695.0238,1721.0557
amostra_0404_964.29.csv,964.29,856.07263,932.2264
amostra_0408_2330.48.csv,2330.48,2311.396,2292.3206
amostra_0413_1953.02.csv,1953.02,1849.1168,1864.5297
amostra_0419_1331.43.csv,1331.43,1369.7162,1416.726
amostra_0424_1989.78.csv,1989.78,2105.9387,2102.6785
amostra_0427_2353.69.csv,2353.69,2191.546,2181.7908
amostra_0430_1749.57.csv,1749.57,1575.1736,1609.1615
amostra_0432_2301.81.csv,2301.81,2242.9102,2229.193
amostra_0442_1188.48.csv,1188.48,1147.1373,1207.3744
amostra_0448_1711.82.csv,1711.82,1609.4165,1641.1583
amostra_0459_2278.38.csv,2278.38,2653.8252,2606.6587
amostra_0461_2164.81.csv,2164.81,2465.4893,2434.0408
amostra_0465_3784.44.csv,3784.44,3681.1123,3536.6797
amostra_0466_2053.46.csv,2053.46,2054.5742,2055.146
amostra_0472_2345.65.csv,2345.65,2379.8818,2355.3613
amostra_0473_1799.60.csv,1799.6,1866.2383,1880.4441
amostra_0474_3479.63.csv,3479.63,3578.3835,3444.5544
amostra_0476_2401.85.csv,2401.85,2328.5176,2308.0889
amostra_0482_3033.24.csv,3033.24,2927.7683,2856.5698
amostra_0486_3716.25.csv,3716.25,3681.1123,3536.6797
amostra_0490_2742.70.csv,2742.7,2756.5537,2700.5376
amostra_0493_1317.20.csv,1317.2,1421.0806,1464.908
amostra_0495_2113.67.csv,2113.67,2294.2747,2276.5469
amostra_0497_2280.00.csv,2280.0,2533.9749,2496.8865
amostra_0514_1817.76.csv,1817.76,1780.6311,1800.8175
amostra_0515_3859.47.csv,3859.47,3732.4766,3582.669
amostra_0521_2678.67.csv,2678.67,2859.2825,2794.2217
amostra_0526_2307.83.csv,2307.83,2225.7888,2213.3977
amostra_0549_1147.80.csv,1147.8,1112.8944,1175.0851
amostra_0552_2377.71.csv,2377.71,2225.7888,2213.3977
amostra_0556_3967.58.csv,3967.58,4074.9058,3888.0208
amostra_0559_2561.06.csv,2561.06,2568.2178,2528.277
amostra_0564_1524.70.csv,1524.7,1352.5947,1400.6544
amostra_0566_2947.55.csv,2947.55,3081.8613,2996.5356
amostra_0571_1873.78.csv,1873.78,1968.967,1975.8174
