filename,real_kWh,predicted_kWh,absolute_error,relative_error_%
amostra_0673_31.61.npy,31.61,31.40176,0.20823989868164006,0.6587785469207215
amostra_0674_36.44.npy,36.44,33.978844,2.461156311035154,6.753996462774847
amostra_0676_35.59.npy,35.59,34.821823,0.7681768798828159,2.158406518355762
amostra_0677_34.14.npy,34.14,32.64891,1.491089477539063,4.367573162094502
amostra_0685_24.68.npy,24.68,25.42374,0.7437403869628909,3.0135347932045824
amostra_0686_32.59.npy,32.59,30.193733,2.396266784667972,7.352767059429187
amostra_0692_30.59.npy,30.59,29.296505,1.2934950256347655,4.228489786318292
amostra_0693_31.79.npy,31.79,28.962433,2.827567138671874,8.894517579968147
amostra_0696_25.53.npy,25.53,26.71752,1.1875197601318348,4.651467920610399
amostra_0720_33.61.npy,33.61,30.755962,2.8540376281738276,8.491632336131591
amostra_0723_24.32.npy,24.32,25.310022,0.9900223541259763,4.0708156008469425
amostra_0724_27.11.npy,27.11,28.195623,1.085623397827149,4.004512717916448
amostra_0730_25.29.npy,25.29,26.505081,1.2150811767578134,4.804591446254699
amostra_0734_30.97.npy,30.97,29.827488,1.1425120544433582,3.6890928461199817
amostra_0737_25.32.npy,25.32,26.125092,0.8050915527343747,3.1796664799935805
amostra_0740_34.83.npy,34.83,34.308933,0.5210667419433577,1.4960285441956866
amostra_0744_27.79.npy,27.79,26.545748,1.2442522430419913,4.477338046210836
amostra_0757_40.33.npy,40.33,36.90209,3.427911834716795,8.499657413133637
amostra_0758_34.27.npy,34.27,32.678684,1.5913157653808625,4.643465904233622
amostra_0760_29.69.npy,29.69,28.765915,0.9240850830078138,3.1124455473486483
amostra_0763_28.19.npy,28.19,29.754578,1.5645776367187487,5.5501157740998535
amostra_0766_31.90.npy,31.9,31.70953,0.1904701232910142,0.5970850259906402
amostra_0771_32.52.npy,32.52,32.05809,0.4619097900390656,1.420386808238209
amostra_0782_23.35.npy,23.35,24.14221,0.7922100067138658,3.392762341387005
amostra_0784_30.06.npy,30.06,29.733227,0.32677322387695185,1.0870699397104187
amostra_0787_25.28.npy,25.28,24.188168,1.0918324279785168,4.318957389155525
