epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,lr
37,1525.84814453125,1525.84814453125,1705.7725830078125,1488.1075439453125,1488.1075439453125,1658.6494140625,0.004999999888241291
38,1467.665283203125,1467.665283203125,1646.2833251953125,1429.324951171875,1429.324951171875,1595.97412109375,0.004999999888241291
39,1410.1439208984375,1410.1439208984375,1592.4620361328125,1368.6317138671875,1368.6317138671875,1536.799072265625,0.004999999888241291
40,1344.882080078125,1344.882080078125,1526.5400390625,1301.08447265625,1301.08447265625,1470.003662109375,0.004999999888241291
41,1277.2188720703125,1277.2188720703125,1456.42578125,1222.1837158203125,1222.1837158203125,1392.0452880859375,0.004999999888241291
42,1218.381103515625,1218.381103515625,1398.676025390625,1150.4263916015625,1150.4263916015625,1320.15283203125,0.004999999888241291
43,1152.3612060546875,1152.3612060546875,1339.079345703125,1075.9595947265625,1075.9595947265625,1249.93701171875,0.004999999888241291
44,1084.2724609375,1084.2724609375,1271.85498046875,990.14013671875,990.14013671875,1166.46533203125,0.004999999888241291
45,1012.6929931640625,1012.6929931640625,1205.3897705078125,907.2470703125,907.2470703125,1086.2777099609375,0.004999999888241291
46,953.5239868164062,953.5239868164062,1144.183837890625,831.2359008789062,831.2359008789062,1005.8131713867188,0.004999999888241291
47,876.9771118164062,876.9771118164062,1066.4608154296875,762.0870971679688,762.0870971679688,916.3821411132812,0.004999999888241291
48,804.5964965820312,804.5964965820312,984.58837890625,668.2804565429688,668.2804565429688,810.031982421875,0.004999999888241291
49,744.2081909179688,744.2081909179688,922.4760131835938,582.958251953125,582.958251953125,712.3848876953125,0.004999999888241291
50,661.7535400390625,661.7535400390625,831.1449584960938,523.3546142578125,523.3546142578125,632.759033203125,0.004999999888241291
51,600.695556640625,600.695556640625,769.1220703125,453.5592346191406,453.5592346191406,554.1686401367188,0.004999999888241291
52,518.636962890625,518.636962890625,669.5908813476562,400.033447265625,400.033447265625,492.9289855957031,0.004999999888241291
53,440.4685974121094,440.4685974121094,584.2162475585938,362.6915283203125,362.6915283203125,434.0721740722656,0.004999999888241291
