TIME,VRMS(V) L1 AVG,VRMS(V) L2 AVG,VRMS(V) L3 AVG,VTHD L1 AVG,VTHD L2 AVG,VTHD L3 AVG,IRMS(A) L1 AVG,IRMS(A) L2 AVG,IRMS(A) L3 AVG,ITHD L1 AVG,ITHD L2 AVG,ITHD L3 AVG,P(kW) L1 AVG,P(kW) L2 AVG,P(kW) L3 AVG,P(kW) ALL AVG,S(kVA) L1 AVG,S(kVA) L2 AVG,S(kVA) L3 AVG,S(kVA) ALL AVG,Q(kvar) L1 AVG,Q(kvar) L2 AVG,Q(kvar) L3 AVG,Q(kvar) ALL AVG,TPF L1 AVG,TPF L2 AVG,TPF L3 AVG,TPF ALL AVG,Energy(kWh) L1,Energy(kWh) L2,Energy(kWh) L3,Energy(kWh) ALL,FREQ AVG
2025-04-17 18:02:05,223.693,223.23,222.633,1.75,1.82,1.67,9.705,3.503,9.785,16.62,32.87,18.77,1.805,0.722,-2.007,0.52,2.171,0.782,2.178,5.131,-1.206,0.3,0.847,-0.059,0.83,0.92,-0.92,0.1,0.404,0.183,-0.507,0.08,60.0
2025-04-17 18:03:05,223.629,223.074,222.468,1.74,1.8,1.66,9.709,3.491,9.305,16.84,32.92,18.56,1.81,0.72,-1.904,0.626,2.171,0.779,2.07,5.02,-1.2,0.297,0.813,-0.091,0.83,0.92,-0.92,0.12,0.433,0.194,-0.537,0.09,60.0
2025-04-17 18:04:05,223.571,223.083,222.477,1.73,1.79,1.66,9.711,3.495,9.522,16.75,32.87,17.45,1.808,0.721,-1.939,0.59,2.171,0.78,2.118,5.069,-1.201,0.296,0.853,-0.053,0.83,0.92,-0.91,0.12,0.461,0.205,-0.567,0.099,60.0
2025-04-17 18:05:05,223.674,223.134,222.612,1.72,1.74,1.64,9.701,3.689,9.105,16.63,31.34,15.87,1.805,0.761,-1.84,0.726,2.17,0.823,2.027,5.02,-1.203,0.313,0.848,-0.042,0.83,0.92,-0.91,0.14,0.49,0.217,-0.596,0.111,59.99
2025-04-17 18:06:05,223.663,223.186,222.716,1.73,1.75,1.66,9.699,4.055,9.103,16.67,26.97,16.22,1.803,0.843,-1.844,0.802,2.169,0.905,2.027,5.102,-1.206,0.329,0.842,-0.035,0.83,0.93,-0.91,0.16,0.518,0.231,-0.625,0.124,60.0
2025-04-17 18:07:05,223.687,223.232,222.785,1.75,1.76,1.66,9.713,4.793,9.021,16.62,22.44,15.91,1.81,0.97,-1.83,0.951,2.173,1.07,2.01,5.252,-1.202,0.45,0.831,0.08,0.83,0.91,-0.91,0.18,0.546,0.246,-0.653,0.139,60.0
2025-04-17 18:08:05,223.636,223.179,222.762,1.77,1.78,1.69,9.703,4.67,8.995,16.81,22.56,15.75,1.808,0.937,-1.823,0.923,2.17,1.042,2.004,5.216,-1.2,0.456,0.832,0.088,0.83,0.9,-0.91,0.18,0.575,0.261,-0.682,0.153,60.0
2025-04-17 18:09:05,223.803,223.125,222.797,1.77,1.77,1.68,9.711,4.686,8.965,16.63,22.6,15.59,1.808,0.941,-1.812,0.936,2.173,1.046,1.997,5.216,-1.206,0.456,0.84,0.09,0.83,0.9,-0.91,0.18,0.604,0.275,-0.711,0.168,59.98
2025-04-17 18:10:05,223.901,223.187,222.923,1.74,1.74,1.66,9.695,4.706,8.977,16.88,22.37,15.52,1.802,0.943,-1.818,0.927,2.171,1.05,2.001,5.222,-1.211,0.462,0.837,0.089,0.83,0.9,-0.91,0.18,0.632,0.29,-0.739,0.182,60.0
2025-04-17 18:11:05,223.693,223.034,222.691,1.73,1.73,1.65,9.696,4.719,9.563,16.81,22.34,16.55,1.805,0.944,-1.942,0.806,2.169,1.052,2.13,5.351,-1.203,0.466,0.874,0.137,0.83,0.9,-0.91,0.15,0.66,0.305,-0.77,0.195,59.99
2025-04-17 18:12:05,223.703,223.188,222.748,1.73,1.74,1.66,9.713,4.73,10.009,16.72,22.3,17.13,1.808,0.945,-2.044,0.71,2.173,1.056,2.23,5.458,-1.204,0.469,0.891,0.156,0.83,0.9,-0.92,0.13,0.689,0.32,-0.802,0.207,60.0
2025-04-17 18:13:05,223.833,223.353,222.948,1.79,1.8,1.74,9.703,4.722,10.198,16.83,22.39,17.99,1.803,0.944,-2.089,0.658,2.172,1.055,2.274,5.5,-1.21,0.471,0.898,0.158,0.83,0.89,-0.92,0.12,0.717,0.335,-0.835,0.217,59.99
2025-04-17 18:14:05,223.897,223.441,222.965,1.81,1.81,1.77,9.671,4.726,10.396,16.88,22.44,18.53,1.797,0.945,-2.135,0.607,2.165,1.056,2.318,5.539,-1.208,0.471,0.902,0.166,0.83,0.89,-0.92,0.11,0.745,0.35,-0.868,0.226,59.99
2025-04-17 18:15:05,223.959,223.549,223.022,1.79,1.79,1.73,9.682,4.724,10.473,16.76,22.47,18.62,1.803,0.943,-2.158,0.588,2.168,1.056,2.336,5.56,-1.204,0.475,0.893,0.164,0.83,0.89,-0.92,0.11,0.773,0.364,-0.902,0.236,60.0
2025-04-17 18:16:05,223.959,223.509,223.048,1.78,1.76,1.7,9.677,4.728,11.28,16.87,22.36,19.97,1.8,0.945,-2.357,0.389,2.167,1.057,2.516,5.74,-1.206,0.472,0.877,0.143,0.83,0.89,-0.94,0.07,0.802,0.379,-0.939,0.242,60.01
2025-04-17 18:17:05,224.036,223.568,223.162,1.78,1.76,1.69,9.819,4.727,11.908,16.54,22.42,20.77,1.832,0.945,-2.507,0.271,2.2,1.057,2.657,5.914,-1.217,0.473,0.882,0.138,0.83,0.89,-0.94,0.05,0.831,0.394,-0.979,0.246,59.99
2025-04-17 18:18:05,224.279,223.785,223.341,1.81,1.81,1.72,10.451,4.78,12.265,16.07,22.27,20.64,1.982,0.958,-2.587,0.353,2.344,1.07,2.739,6.153,-1.251,0.476,0.9,0.125,0.85,0.9,-0.94,0.06,0.862,0.409,-1.019,0.252,60.01
2025-04-17 18:19:05,224.345,223.916,223.372,1.82,1.81,1.73,10.404,4.762,12.54,15.98,22.39,20.65,1.975,0.952,-2.656,0.271,2.334,1.066,2.801,6.201,-1.244,0.48,0.888,0.125,0.85,0.89,-0.95,0.04,0.893,0.424,-1.061,0.256,59.99
2025-04-17 18:20:05,224.222,223.844,223.261,1.82,1.79,1.71,9.659,4.77,11.163,16.7,22.36,19.51,1.801,0.951,-2.325,0.428,2.166,1.068,2.492,5.726,-1.202,0.485,0.894,0.177,0.83,0.89,-0.93,0.08,0.921,0.439,-1.098,0.263,59.98
2025-04-17 18:21:05,224.273,223.86,223.392,1.86,1.83,1.76,9.657,4.755,8.31,16.93,22.37,20.54,1.797,0.949,-1.672,1.075,2.166,1.065,1.856,5.087,-1.208,0.481,0.807,0.079,0.83,0.89,-0.9,0.21,0.949,0.454,-1.124,0.279,60.02
2025-04-17 18:22:05,224.289,223.804,223.386,1.84,1.81,1.76,9.657,4.753,8.108,16.86,22.43,20.84,1.796,0.949,-1.63,1.115,2.166,1.064,1.811,5.041,-1.211,0.48,0.79,0.059,0.83,0.89,-0.9,0.22,0.978,0.469,-1.15,0.297,60.01
2025-04-17 18:23:05,224.336,223.85,223.457,1.85,1.83,1.78,9.649,4.712,8.264,16.86,22.5,18.73,1.795,0.94,-1.648,1.087,2.165,1.055,1.847,5.066,-1.21,0.478,0.83,0.099,0.83,0.89,-0.89,0.22,1.006,0.484,-1.176,0.314,60.01
2025-04-17 18:24:05,224.224,223.861,223.553,1.87,1.85,1.82,9.666,4.704,7.818,16.75,22.47,17.75,1.8,0.935,-1.55,1.184,2.167,1.053,1.748,4.968,-1.207,0.484,0.807,0.084,0.83,0.89,-0.89,0.24,1.034,0.499,-1.2,0.333,60.01
2025-04-17 18:25:05,224.262,223.944,223.606,1.88,1.86,1.83,9.661,4.7,7.812,16.78,22.45,17.66,1.794,0.935,-1.546,1.182,2.167,1.053,1.747,4.966,-1.215,0.484,0.812,0.081,0.83,0.89,-0.89,0.24,1.063,0.513,-1.224,0.351,59.99
2025-04-17 18:26:05,224.374,223.955,223.658,1.89,1.85,1.83,9.681,4.697,7.78,16.81,22.56,17.99,1.793,0.936,-1.541,1.188,2.172,1.052,1.74,4.964,-1.226,0.479,0.807,0.06,0.83,0.89,-0.89,0.24,1.09,0.528,-1.248,0.37,60.0
2025-04-17 18:27:05,224.478,223.897,223.612,1.91,1.86,1.83,9.665,4.71,8.208,16.96,22.52,18.28,1.797,0.936,-1.63,1.103,2.17,1.054,1.835,5.06,-1.215,0.485,0.844,0.114,0.83,0.89,-0.89,0.22,1.119,0.543,-1.274,0.388,60.01
2025-04-17 18:28:05,224.46,223.906,223.673,1.86,1.8,1.78,9.679,4.72,8.726,16.8,22.6,18.64,1.804,0.935,-1.749,0.989,2.173,1.057,1.952,5.181,-1.211,0.493,0.865,0.147,0.83,0.88,-0.9,0.19,1.147,0.558,-1.301,0.403,60.0
2025-04-17 18:29:05,224.004,223.564,223.388,1.89,1.85,1.83,9.675,4.728,8.952,16.89,22.34,19.47,1.793,0.935,-1.801,0.926,2.167,1.057,2.0,5.224,-1.218,0.493,0.868,0.143,0.83,0.88,-0.9,0.18,1.175,0.572,-1.329,0.418,59.99
2025-04-17 18:30:05,219.888,219.583,219.308,1.38,1.38,1.29,9.779,4.749,9.289,17.43,21.51,21.75,1.789,0.937,-1.86,0.865,2.15,1.043,2.037,5.23,-1.193,0.458,0.83,0.095,0.83,0.9,-0.91,0.17,1.204,0.587,-1.359,0.431,60.01
2025-04-17 18:31:05,219.707,219.401,219.048,1.36,1.35,1.26,9.782,4.755,9.455,17.4,21.56,22.24,1.793,0.939,-1.895,0.838,2.149,1.043,2.071,5.263,-1.184,0.454,0.835,0.105,0.83,0.9,-0.92,0.16,1.232,0.602,-1.389,0.445,60.0
2025-04-17 18:32:05,219.955,219.622,219.208,1.33,1.31,1.2,9.766,4.75,10.178,17.44,21.48,23.76,1.792,0.937,-2.064,0.665,2.148,1.043,2.231,5.422,-1.184,0.458,0.847,0.12,0.83,0.9,-0.92,0.12,1.26,0.616,-1.421,0.455,60.02
2025-04-17 18:33:05,220.004,219.638,219.157,1.38,1.35,1.22,9.764,4.758,10.871,17.53,21.49,25.73,1.787,0.938,-2.221,0.504,2.148,1.045,2.382,5.576,-1.192,0.46,0.861,0.128,0.83,0.9,-0.93,0.09,1.288,0.631,-1.456,0.463,60.0
2025-04-17 18:34:05,220.051,219.602,219.256,1.39,1.35,1.24,9.777,4.765,11.214,17.42,21.57,25.11,1.789,0.942,-2.296,0.434,2.151,1.046,2.459,5.656,-1.194,0.456,0.878,0.14,0.83,0.9,-0.93,0.08,1.316,0.646,-1.492,0.47,60.03
2025-04-17 18:35:05,220.038,219.605,219.248,1.4,1.37,1.25,9.761,4.766,11.491,17.44,21.49,25.65,1.788,0.937,-2.363,0.363,2.148,1.047,2.519,5.714,-1.189,0.465,0.873,0.149,0.83,0.9,-0.94,0.06,1.344,0.661,-1.53,0.475,60.01
2025-04-17 18:36:05,219.955,219.5,219.274,1.37,1.33,1.24,9.761,4.778,10.26,17.45,21.51,23.73,1.789,0.941,-2.083,0.647,2.147,1.049,2.25,5.446,-1.187,0.463,0.849,0.125,0.83,0.9,-0.92,0.12,1.373,0.676,-1.562,0.486,60.0
2025-04-17 18:37:05,219.822,219.42,219.21,1.36,1.34,1.26,9.777,4.777,8.442,17.35,21.51,20.61,1.791,0.936,-1.683,1.044,2.149,1.048,1.851,5.048,-1.187,0.471,0.768,0.052,0.83,0.89,-0.91,0.21,1.4,0.69,-1.589,0.502,60.0
2025-04-17 18:38:05,219.805,219.526,219.237,1.35,1.34,1.27,9.777,4.773,8.151,17.52,21.47,20.09,1.786,0.939,-1.625,1.1,2.149,1.048,1.787,4.984,-1.195,0.465,0.744,0.015,0.83,0.9,-0.91,0.22,1.429,0.705,-1.614,0.519,60.02
2025-04-17 18:39:05,219.84,219.466,219.204,1.38,1.36,1.28,9.771,4.764,8.381,17.5,21.56,19.69,1.79,0.935,-1.659,1.066,2.148,1.045,1.837,5.031,-1.187,0.467,0.787,0.067,0.83,0.89,-0.9,0.21,1.457,0.72,-1.64,0.536,60.01
2025-04-17 18:40:05,219.926,219.471,219.174,1.4,1.35,1.29,9.778,4.761,7.877,17.49,21.57,16.98,1.791,0.935,-1.547,1.178,2.15,1.045,1.726,4.922,-1.19,0.467,0.766,0.042,0.83,0.89,-0.9,0.24,1.485,0.734,-1.665,0.555,60.03
2025-04-17 18:41:05,219.985,219.515,219.202,1.4,1.34,1.27,9.767,4.762,7.863,17.58,21.52,16.72,1.788,0.935,-1.544,1.18,2.149,1.045,1.724,4.917,-1.19,0.466,0.765,0.041,0.83,0.89,-0.9,0.24,1.513,0.749,-1.689,0.573,60.01
2025-04-17 18:42:05,219.998,219.542,219.245,1.39,1.38,1.31,9.765,4.757,7.826,17.53,21.47,17.05,1.787,0.937,-1.536,1.188,2.148,1.044,1.716,4.909,-1.192,0.461,0.764,0.032,0.83,0.9,-0.9,0.24,1.541,0.764,-1.713,0.592,60.03
2025-04-17 18:43:05,220.111,219.613,219.322,1.44,1.43,1.34,9.767,4.754,8.202,17.56,21.45,18.04,1.79,0.935,-1.614,1.111,2.15,1.044,1.799,4.993,-1.191,0.464,0.794,0.067,0.83,0.9,-0.9,0.22,1.569,0.778,-1.738,0.609,60.02
2025-04-17 18:44:05,220.071,219.554,219.277,1.42,1.42,1.32,9.773,4.766,8.788,17.47,21.44,19.82,1.795,0.936,-1.742,0.989,2.151,1.046,1.927,5.124,-1.185,0.468,0.824,0.108,0.83,0.89,-0.9,0.19,1.597,0.793,-1.765,0.624,60.02
2025-04-17 18:45:05,219.93,219.433,219.054,1.44,1.42,1.31,9.769,4.773,9.011,17.52,21.42,21.21,1.788,0.938,-1.792,0.934,2.149,1.047,1.974,5.17,-1.191,0.465,0.827,0.1,0.83,0.9,-0.91,0.18,1.625,0.808,-1.794,0.639,60.01
2025-04-17 18:46:05,219.773,219.355,218.994,1.44,1.4,1.29,9.786,4.75,9.203,17.41,21.48,21.82,1.79,0.936,-1.834,0.892,2.151,1.042,2.015,5.208,-1.192,0.457,0.835,0.1,0.83,0.9,-0.91,0.17,1.653,0.823,-1.823,0.653,60.03
2025-04-17 18:47:05,219.88,219.424,219.069,1.48,1.45,1.32,9.775,4.755,9.336,17.56,21.47,22.35,1.791,0.934,-1.867,0.858,2.149,1.043,2.045,5.238,-1.188,0.464,0.834,0.109,0.83,0.9,-0.91,0.16,1.681,0.837,-1.852,0.667,60.01
2025-04-17 18:48:05,219.921,219.511,219.148,1.49,1.48,1.33,9.771,4.782,10.041,17.54,21.41,24.33,1.791,0.935,-2.027,0.699,2.149,1.05,2.2,5.399,-1.187,0.477,0.854,0.144,0.83,0.89,-0.92,0.13,1.71,0.852,-1.884,0.678,60.0
2025-04-17 18:49:05,220.017,219.604,219.243,1.49,1.48,1.33,9.772,4.773,10.811,17.44,21.4,25.96,1.791,0.936,-2.205,0.522,2.15,1.048,2.37,5.568,-1.189,0.47,0.869,0.15,0.83,0.89,-0.93,0.09,1.738,0.867,-1.919,0.686,60.01
2025-04-17 18:50:05,219.972,219.597,219.2,1.47,1.47,1.32,9.759,4.788,11.219,17.47,21.34,25.61,1.787,0.938,-2.291,0.434,2.147,1.051,2.459,5.657,-1.19,0.475,0.895,0.18,0.83,0.89,-0.93,0.08,1.766,0.881,-1.954,0.693,60.0
2025-04-17 18:51:05,220.039,219.579,219.161,1.47,1.46,1.3,9.772,4.793,11.475,17.38,21.37,25.6,1.793,0.936,-2.351,0.378,2.15,1.052,2.515,5.717,-1.186,0.481,0.891,0.186,0.83,0.89,-0.93,0.07,1.794,0.896,-1.992,0.699,60.0
2025-04-17 18:52:05,220.168,219.607,219.188,1.5,1.48,1.35,9.757,4.781,10.436,17.53,21.42,24.26,1.792,0.937,-2.116,0.613,2.148,1.05,2.287,5.486,-1.185,0.473,0.867,0.155,0.83,0.89,-0.92,0.11,1.823,0.911,-2.025,0.708,60.01
2025-04-17 18:53:05,220.164,219.66,219.274,1.53,1.51,1.39,9.766,4.773,8.596,17.73,21.42,21.39,1.79,0.935,-1.712,1.013,2.15,1.048,1.885,5.083,-1.191,0.474,0.788,0.07,0.83,0.89,-0.91,0.2,1.85,0.925,-2.052,0.724,60.01
2025-04-17 18:54:05,220.088,219.671,219.279,1.5,1.51,1.38,9.78,4.78,8.172,17.59,21.46,20.24,1.793,0.934,-1.622,1.105,2.153,1.05,1.792,4.994,-1.191,0.479,0.76,0.049,0.83,0.89,-0.91,0.22,1.879,0.94,-2.077,0.742,60.01
2025-04-17 18:55:05,220.234,219.905,219.448,1.48,1.5,1.36,9.776,4.777,8.397,17.55,21.39,19.28,1.794,0.934,-1.663,1.064,2.153,1.05,1.843,5.046,-1.191,0.481,0.792,0.082,0.83,0.89,-0.9,0.21,1.907,0.955,-2.103,0.758,60.03
2025-04-17 18:56:05,220.231,219.847,219.488,1.48,1.49,1.35,9.767,4.767,7.91,17.56,21.45,16.67,1.794,0.932,-1.553,1.174,2.151,1.048,1.736,4.935,-1.187,0.478,0.776,0.068,0.83,0.89,-0.89,0.24,1.935,0.97,-2.128,0.777,60.01
2025-04-17 18:57:05,220.356,219.87,219.61,1.5,1.5,1.37,9.769,4.759,7.857,17.47,21.53,17.26,1.791,0.931,-1.546,1.176,2.153,1.046,1.726,4.925,-1.194,0.477,0.765,0.048,0.83,0.89,-0.9,0.24,1.963,0.984,-2.152,0.795,60.02
2025-04-17 18:58:05,220.414,219.923,219.67,1.49,1.48,1.35,9.762,4.758,7.782,17.52,21.62,16.34,1.787,0.932,-1.527,1.192,2.152,1.046,1.71,4.908,-1.198,0.475,0.768,0.046,0.83,0.89,-0.89,0.24,1.991,0.999,-2.176,0.814,59.99
2025-04-17 18:59:05,220.536,220.084,219.775,1.49,1.48,1.36,9.753,4.747,7.754,17.59,21.6,16.53,1.789,0.93,-1.525,1.193,2.151,1.045,1.704,4.9,-1.194,0.476,0.76,0.042,0.83,0.89,-0.89,0.24,2.019,1.014,-2.2,0.833,60.01
2025-04-17 19:00:05,220.545,220.05,219.736,1.5,1.47,1.36,9.756,4.762,7.84,17.62,21.5,16.85,1.79,0.932,-1.545,1.177,2.152,1.048,1.723,4.922,-1.194,0.478,0.761,0.045,0.83,0.89,-0.9,0.24,2.048,1.028,-2.225,0.851,60.04
2025-04-17 19:01:05,220.424,219.97,219.669,1.5,1.46,1.36,9.79,4.791,7.872,17.6,21.45,16.39,1.794,0.935,-1.551,1.178,2.158,1.054,1.729,4.941,-1.199,0.486,0.764,0.051,0.83,0.89,-0.9,0.24,2.076,1.043,-2.249,0.87,60.04
2025-04-17 19:02:05,220.143,219.763,219.451,1.46,1.44,1.33,9.81,4.786,7.821,17.52,21.4,16.3,1.797,0.934,-1.534,1.197,2.16,1.052,1.716,4.928,-1.198,0.484,0.77,0.056,0.83,0.89,-0.89,0.24,2.104,1.058,-2.273,0.889,60.03
2025-04-17 19:03:05,220.061,219.747,219.372,1.47,1.45,1.35,9.824,4.612,7.86,17.37,22.84,16.5,1.806,0.908,-1.545,1.169,2.162,1.013,1.724,4.9,-1.189,0.449,0.766,0.026,0.84,0.9,-0.9,0.24,2.132,1.072,-2.297,0.907,60.03
2025-04-17 19:04:05,219.924,219.57,219.275,1.42,1.39,1.32,9.821,4.116,7.822,17.44,25.82,16.61,1.803,0.819,-1.536,1.086,2.16,0.904,1.715,4.779,-1.189,0.381,0.763,-0.045,0.83,0.91,-0.9,0.23,2.161,1.085,-2.322,0.924,60.04
2025-04-17 19:05:05,219.844,219.492,219.186,1.4,1.35,1.27,9.803,4.103,7.803,17.31,25.88,16.92,1.795,0.817,-1.53,1.082,2.155,0.901,1.71,4.766,-1.192,0.379,0.764,-0.049,0.83,0.91,-0.89,0.23,2.189,1.098,-2.346,0.941,60.02
2025-04-17 19:06:05,219.961,219.537,219.235,1.42,1.37,1.29,9.782,4.144,7.805,17.42,25.81,16.59,1.789,0.825,-1.527,1.086,2.152,0.91,1.711,4.773,-1.196,0.384,0.771,-0.041,0.83,0.91,-0.89,0.23,2.217,1.11,-2.37,0.958,60.05
2025-04-17 19:07:05,219.817,219.523,219.109,1.37,1.34,1.25,9.783,4.119,7.777,17.25,25.78,16.27,1.794,0.817,-1.524,1.087,2.151,0.904,1.704,4.759,-1.185,0.387,0.763,-0.035,0.83,0.9,-0.89,0.23,2.245,1.123,-2.394,0.975,60.05
2025-04-17 19:08:05,219.833,219.579,219.13,1.37,1.36,1.24,9.769,4.118,7.801,17.44,25.67,16.25,1.789,0.816,-1.53,1.076,2.148,0.904,1.709,4.761,-1.187,0.387,0.762,-0.038,0.83,0.9,-0.9,0.23,2.273,1.136,-2.418,0.992,60.04
2025-04-17 19:09:05,219.997,219.705,219.214,1.4,1.38,1.26,9.781,4.127,7.796,17.32,25.68,16.69,1.79,0.815,-1.527,1.078,2.152,0.907,1.709,4.768,-1.194,0.397,0.768,-0.029,0.83,0.9,-0.89,0.23,2.302,1.149,-2.442,1.009,60.04
2025-04-17 19:10:05,220.016,219.77,219.191,1.43,1.42,1.27,9.768,4.123,7.823,17.48,25.69,16.46,1.785,0.816,-1.53,1.072,2.149,0.906,1.715,4.77,-1.196,0.392,0.775,-0.03,0.83,0.9,-0.89,0.22,2.33,1.162,-2.466,1.026,60.03
2025-04-17 19:11:05,219.984,219.835,219.184,1.44,1.43,1.25,9.773,4.113,7.831,17.46,25.78,16.49,1.788,0.818,-1.534,1.072,2.15,0.904,1.716,4.771,-1.193,0.385,0.769,-0.039,0.83,0.9,-0.89,0.22,2.358,1.175,-2.49,1.042,60.03
2025-04-17 19:12:05,219.94,219.836,219.183,1.43,1.42,1.25,9.776,4.109,7.823,17.35,25.78,16.65,1.791,0.816,-1.536,1.071,2.15,0.903,1.715,4.768,-1.19,0.386,0.762,-0.043,0.83,0.9,-0.9,0.22,2.386,1.188,-2.514,1.059,60.02
2025-04-17 19:13:05,219.908,219.656,219.152,1.43,1.41,1.26,9.774,4.091,7.8,17.23,25.88,16.49,1.787,0.813,-1.531,1.069,2.149,0.899,1.709,4.757,-1.194,0.383,0.76,-0.052,0.83,0.9,-0.9,0.22,2.414,1.201,-2.539,1.076,60.01
2025-04-17 19:14:05,220.034,219.689,219.217,1.46,1.42,1.27,9.778,4.144,7.807,17.27,25.82,16.55,1.787,0.824,-1.531,1.08,2.151,0.91,1.712,4.773,-1.197,0.386,0.764,-0.047,0.83,0.91,-0.89,0.23,2.442,1.213,-2.562,1.093,60.0
2025-04-17 19:15:05,220.276,219.839,219.405,1.48,1.46,1.31,9.751,4.19,7.792,17.37,25.7,16.67,1.789,0.835,-1.532,1.092,2.148,0.921,1.71,4.778,-1.189,0.388,0.759,-0.042,0.83,0.91,-0.9,0.23,2.47,1.227,-2.587,1.11,60.01
2025-04-17 19:16:05,220.233,219.717,219.283,1.47,1.45,1.29,9.766,4.139,7.803,17.28,26.31,16.97,1.793,0.824,-1.534,1.083,2.151,0.909,1.711,4.771,-1.188,0.379,0.758,-0.05,0.83,0.91,-0.9,0.23,2.498,1.239,-2.61,1.127,60.02
