arquivo,real_kWh,previsto_kWh
amostra_1055_2647.63.csv,2647.63,2458.344
amostra_1057_2788.80.csv,2788.8,2679.671
amostra_1061_2621.51.csv,2621.51,2556.9905
amostra_1070_2676.56.csv,2676.56,2584.451
amostra_1072_2609.66.csv,2609.66,2599.161
amostra_1073_2765.53.csv,2765.53,2695.2605
amostra_1077_2755.79.csv,2755.79,2632.7761
amostra_1078_3101.47.csv,3101.47,3082.5022
amostra_1081_1548.57.csv,1548.57,1558.218
amostra_1091_2387.11.csv,2387.11,2417.7568
amostra_1095_2339.62.csv,2339.62,2264.767
amostra_1096_2709.91.csv,2709.91,2678.8481
amostra_1102_1871.91.csv,1871.91,1801.175
amostra_1106_2888.83.csv,2888.83,2725.3003
amostra_1108_2574.07.csv,2574.07,2557.4963
amostra_1114_1546.13.csv,1546.13,1550.0352
amostra_1119_1507.38.csv,1507.38,1550.7538
amostra_1123_3016.02.csv,3016.02,2982.0405
amostra_1128_1960.64.csv,1960.64,1871.0258
amostra_1133_3201.83.csv,3201.83,3171.1506
amostra_1136_2574.47.csv,2574.47,2600.048
amostra_1139_2152.87.csv,2152.87,2124.9805
amostra_1144_1938.78.csv,1938.78,1891.1443
amostra_1150_2715.36.csv,2715.36,2579.4944
amostra_1152_3194.03.csv,3194.03,3182.3796
amostra_1153_2510.56.csv,2510.56,2416.5625
amostra_1157_2411.96.csv,2411.96,2401.324
amostra_1162_2238.67.csv,2238.67,2165.9915
amostra_1163_2938.17.csv,2938.17,2875.6401
amostra_1165_2812.93.csv,2812.93,2696.4858
amostra_1166_2601.59.csv,2601.59,2558.0994
amostra_1169_2513.01.csv,2513.01,2501.5815
amostra_1173_2503.59.csv,2503.59,2437.0913
amostra_1175_2968.48.csv,2968.48,2897.6091
amostra_1180_2059.34.csv,2059.34,2012.4222
amostra_1184_3350.80.csv,3350.8,3303.701
amostra_1185_1622.44.csv,1622.44,1626.2821
amostra_1193_2315.53.csv,2315.53,2239.5327
amostra_1194_2418.87.csv,2418.87,2381.4604
amostra_1207_3196.34.csv,3196.34,3177.6838
amostra_1209_2836.63.csv,2836.63,2771.3557
amostra_1213_3179.63.csv,3179.63,3117.6208
amostra_1230_3366.56.csv,3366.56,3390.593
amostra_1233_1733.67.csv,1733.67,1736.3811
amostra_1238_1999.16.csv,1999.16,1964.2012
amostra_1239_2214.42.csv,2214.42,2137.0583
amostra_1246_2680.50.csv,2680.5,2660.9973
amostra_1250_2407.37.csv,2407.37,2367.4841
amostra_1258_3674.16.csv,3674.16,3639.9778
amostra_1264_1693.16.csv,1693.16,1669.7864
amostra_1265_1831.47.csv,1831.47,1855.5477
amostra_1274_2031.96.csv,2031.96,2037.0112
amostra_1277_1963.03.csv,1963.03,1895.163
amostra_1279_2406.61.csv,2406.61,2366.5503
amostra_1281_3648.42.csv,3648.42,3531.3267
amostra_1283_2220.39.csv,2220.39,2311.5493
amostra_1284_3179.57.csv,3179.57,3133.4084
amostra_1287_1988.81.csv,1988.81,1996.047
amostra_1295_3157.79.csv,3157.79,3105.41
amostra_1296_1590.97.csv,1590.97,1586.4001
amostra_1306_2513.27.csv,2513.27,2394.585
amostra_1313_2401.55.csv,2401.55,2362.4875
amostra_1326_1712.13.csv,1712.13,1718.0281
amostra_1329_2004.88.csv,2004.88,1949.3552
amostra_1336_2197.44.csv,2197.44,2131.1113
amostra_1340_2781.28.csv,2781.28,2764.2266
amostra_1344_2492.12.csv,2492.12,2440.7234
amostra_1349_2881.20.csv,2881.2,2840.6514
amostra_1353_1393.69.csv,1393.69,1430.2437
amostra_1354_2208.87.csv,2208.87,2177.3042
amostra_1362_2700.01.csv,2700.01,2598.4797
amostra_1368_1661.81.csv,1661.81,1648.2189
amostra_1370_2767.58.csv,2767.58,2726.1023
amostra_1376_1477.30.csv,1477.3,1542.1154
amostra_1378_2655.21.csv,2655.21,2642.812
amostra_1380_2886.82.csv,2886.82,2894.5742
amostra_1384_1592.14.csv,1592.14,1579.8124
amostra_1385_2678.45.csv,2678.45,2631.5806
amostra_1394_3355.54.csv,3355.54,3294.6084
amostra_1408_3174.44.csv,3174.44,3025.4424
amostra_1409_1713.57.csv,1713.57,1619.0757
amostra_1410_1298.56.csv,1298.56,1260.6127
amostra_1411_2869.17.csv,2869.17,2751.5076
amostra_1433_1900.98.csv,1900.98,1922.5292
amostra_1441_3541.12.csv,3541.12,3430.983
amostra_1444_3067.79.csv,3067.79,2969.7046
amostra_1448_1259.51.csv,1259.51,1179.494
amostra_1473_2396.15.csv,2396.15,2338.3767
amostra_1474_2150.10.csv,2150.1,2084.2676
amostra_1482_2062.88.csv,2062.88,1991.0348
amostra_1489_2814.15.csv,2814.15,2846.0286
amostra_1500_3109.14.csv,3109.14,3025.0254
amostra_1508_2777.11.csv,2777.11,2648.2188
amostra_1520_2622.67.csv,2622.67,2597.5217
amostra_1525_3159.97.csv,3159.97,3061.0808
amostra_1532_2223.95.csv,2223.95,2161.5137
amostra_1545_2129.60.csv,2129.6,2140.5671
amostra_1551_3083.68.csv,3083.68,3021.782
amostra_1561_1323.35.csv,1323.35,1301.168
amostra_1566_2769.13.csv,2769.13,2635.1836
amostra_1571_1354.33.csv,1354.33,1282.4323
amostra_1572_3161.48.csv,3161.48,3030.9368
amostra_1573_1684.04.csv,1684.04,1582.3159
amostra_1574_2089.21.csv,2089.21,2040.8671
amostra_1580_1819.29.csv,1819.29,1816.2144
amostra_1581_3021.42.csv,3021.42,2993.189
amostra_1587_2349.70.csv,2349.7,2372.9702
amostra_1592_2971.58.csv,2971.58,2923.7944
amostra_1598_2434.44.csv,2434.44,2367.8928
amostra_1601_1190.31.csv,1190.31,1208.3148
amostra_1604_2623.33.csv,2623.33,2514.5015
amostra_1607_3157.41.csv,3157.41,3182.0056
amostra_1612_2408.77.csv,2408.77,2334.4817
amostra_1617_2174.71.csv,2174.71,2111.922
amostra_1620_1636.98.csv,1636.98,1570.2339
amostra_1622_2135.48.csv,2135.48,2068.0835
amostra_1627_2574.51.csv,2574.51,2439.8054
amostra_1633_2233.30.csv,2233.3,2200.8752
amostra_1639_2375.25.csv,2375.25,2340.9456
amostra_1642_2904.72.csv,2904.72,2807.2598
amostra_1646_2192.80.csv,2192.8,2090.84
amostra_1656_2141.66.csv,2141.66,2096.8179
amostra_1658_3235.27.csv,3235.27,3235.9827
amostra_1673_2736.62.csv,2736.62,2710.9214
amostra_1688_2127.31.csv,2127.31,2100.6406
amostra_1690_2805.25.csv,2805.25,2831.1328
amostra_1691_3474.59.csv,3474.59,3404.6235
amostra_1697_3482.73.csv,3482.73,3427.0146
amostra_1700_3049.48.csv,3049.48,3003.3938
amostra_1705_3582.42.csv,3582.42,3613.0518
amostra_1706_2549.24.csv,2549.24,2485.2686
amostra_1715_1372.31.csv,1372.31,1380.8301
amostra_1716_2724.14.csv,2724.14,2742.6116
amostra_1721_2815.36.csv,2815.36,2830.2937
amostra_1729_2529.83.csv,2529.83,2486.1245
amostra_1731_1631.07.csv,1631.07,1556.3497
amostra_1733_3015.77.csv,3015.77,2851.6538
amostra_1744_3278.53.csv,3278.53,3200.2607
amostra_1747_2542.28.csv,2542.28,2553.786
amostra_1753_1687.09.csv,1687.09,1628.2002
amostra_1759_3139.57.csv,3139.57,3142.5447
amostra_1760_1533.19.csv,1533.19,1479.717
amostra_1767_1843.96.csv,1843.96,1788.6791
amostra_1768_2199.19.csv,2199.19,2068.7263
amostra_1780_1517.79.csv,1517.79,1560.3804
amostra_1783_1094.42.csv,1094.42,1043.0183
amostra_1796_2859.09.csv,2859.09,2818.93
amostra_1801_1560.36.csv,1560.36,1613.8092
amostra_1802_1070.64.csv,1070.64,1067.4036
amostra_1805_1888.07.csv,1888.07,1852.3151
amostra_1825_2008.59.csv,2008.59,2018.1108
amostra_1826_2008.63.csv,2008.63,1981.8383
amostra_1827_3392.84.csv,3392.84,3264.9033
amostra_1828_1472.67.csv,1472.67,1469.6387
amostra_1832_1610.42.csv,1610.42,1692.018
amostra_1837_2881.53.csv,2881.53,2767.7498
amostra_1850_3941.27.csv,3941.27,3884.2698
amostra_1862_1957.93.csv,1957.93,1938.101
amostra_1866_1236.61.csv,1236.61,1299.0078
amostra_1878_2418.91.csv,2418.91,2348.6782
amostra_1884_1602.94.csv,1602.94,1550.627
amostra_1897_3370.35.csv,3370.35,3237.4917
amostra_1899_2422.12.csv,2422.12,2327.675
amostra_1903_1994.39.csv,1994.39,1937.9371
amostra_1907_2544.06.csv,2544.06,2477.679
amostra_1919_1988.78.csv,1988.78,2059.8
amostra_1920_1949.22.csv,1949.22,1898.8837
amostra_1923_2249.94.csv,2249.94,2154.5637
amostra_1924_1500.20.csv,1500.2,1422.9237
amostra_1925_2636.71.csv,2636.71,2586.9634
amostra_1927_1633.32.csv,1633.32,1572.4852
amostra_1933_2082.87.csv,2082.87,2012.2261
amostra_1939_2528.13.csv,2528.13,2437.6475
amostra_1941_2601.92.csv,2601.92,2561.0198
amostra_1948_3000.46.csv,3000.46,2906.492
amostra_1957_3039.74.csv,3039.74,2920.647
amostra_1962_4000.72.csv,4000.72,3937.555
amostra_1963_2776.96.csv,2776.96,2673.4695
amostra_1966_2069.99.csv,2069.99,2060.43
amostra_1970_1147.49.csv,1147.49,1154.5487
amostra_1972_3448.22.csv,3448.22,3393.912
amostra_1977_3541.04.csv,3541.04,3490.1013
amostra_1980_3520.09.csv,3520.09,3489.9011
amostra_1982_2717.19.csv,2717.19,2574.3293
amostra_1983_1591.13.csv,1591.13,1606.2986
amostra_1986_3632.20.csv,3632.2,3554.5015
amostra_1993_2083.20.csv,2083.2,2015.3976
amostra_1997_1979.56.csv,1979.56,1952.0883
amostra_2001_2235.08.csv,2235.08,2181.359
amostra_2017_1732.39.csv,1732.39,1674.3868
amostra_2024_1246.16.csv,1246.16,1210.4926
amostra_2028_2437.73.csv,2437.73,2292.4878
amostra_2030_1599.59.csv,1599.59,1589.9396
amostra_2031_3696.09.csv,3696.09,3657.2913
amostra_2036_2054.16.csv,2054.16,2059.8306
amostra_2047_3471.49.csv,3471.49,3378.3264
amostra_2051_2007.32.csv,2007.32,1894.3918
amostra_2053_2890.40.csv,2890.4,2826.9905
amostra_2060_2166.08.csv,2166.08,2166.446
amostra_2073_3617.01.csv,3617.01,3524.517
amostra_2083_2696.74.csv,2696.74,2664.271
amostra_2084_1465.02.csv,1465.02,1403.1643
amostra_2088_2330.42.csv,2330.42,2256.8157
amostra_2094_2834.90.csv,2834.9,2758.7869
amostra_2095_3029.50.csv,3029.5,2947.634
amostra_2097_2276.64.csv,2276.64,2284.1035
amostra_2099_1972.16.csv,1972.16,1942.8168
amostra_2107_3146.28.csv,3146.28,3001.111
amostra_2110_2588.75.csv,2588.75,2495.815
amostra_2115_1299.57.csv,1299.57,1325.7156
amostra_2120_4344.97.csv,4344.97,4278.585
amostra_2121_3115.09.csv,3115.09,3028.6018
amostra_2128_2436.68.csv,2436.68,2358.458
amostra_2129_3251.12.csv,3251.12,3175.2307
amostra_2140_2178.44.csv,2178.44,2109.2334
amostra_2147_2182.32.csv,2182.32,2188.1213
amostra_2151_1884.05.csv,1884.05,1833.3909
amostra_2156_3197.65.csv,3197.65,3105.3318
amostra_2159_1465.23.csv,1465.23,1490.2216
amostra_2160_2114.10.csv,2114.1,2145.716
amostra_2164_2761.54.csv,2761.54,2789.1597
amostra_2172_1859.55.csv,1859.55,1856.7634
amostra_2178_2651.29.csv,2651.29,2572.4802
amostra_2193_1351.73.csv,1351.73,1359.2631
amostra_2194_2937.41.csv,2937.41,2874.576
amostra_2195_3193.36.csv,3193.36,3106.0566
amostra_2204_1887.08.csv,1887.08,1902.5673
amostra_2207_3462.41.csv,3462.41,3338.6885
amostra_2208_2658.11.csv,2658.11,2608.7239
amostra_2210_2060.97.csv,2060.97,2020.3552
amostra_2213_2896.55.csv,2896.55,2845.2234
amostra_2218_2422.70.csv,2422.7,2495.802
amostra_2221_3329.26.csv,3329.26,3302.165
amostra_2225_1297.78.csv,1297.78,1319.87
amostra_2228_1310.03.csv,1310.03,1292.931
amostra_2230_3486.69.csv,3486.69,3408.302
amostra_2232_3806.67.csv,3806.67,3759.3718
amostra_2242_1377.44.csv,1377.44,1385.4637
amostra_2246_2072.89.csv,2072.89,2071.6143
amostra_2254_1879.69.csv,1879.69,1827.3385
amostra_2255_2231.29.csv,2231.29,2264.8367
amostra_2261_3286.80.csv,3286.8,3237.2175
amostra_2264_1257.38.csv,1257.38,1271.283
amostra_2278_2386.39.csv,2386.39,2479.6094
amostra_2279_2825.71.csv,2825.71,2783.2288
amostra_2281_1665.99.csv,1665.99,1670.867
amostra_2291_3662.89.csv,3662.89,3664.3218
amostra_2293_3114.00.csv,3114.0,3044.065
amostra_2300_2285.80.csv,2285.8,2223.6196
amostra_2304_1832.34.csv,1832.34,1842.6497
amostra_2307_2240.28.csv,2240.28,2147.03
amostra_2312_2320.95.csv,2320.95,2239.2227
amostra_2320_2481.48.csv,2481.48,2451.0803
amostra_2321_2167.83.csv,2167.83,2104.0435
amostra_2324_4069.69.csv,4069.69,4017.956
amostra_2336_2451.85.csv,2451.85,2399.6362
amostra_2338_3181.07.csv,3181.07,3089.868
amostra_2340_3217.09.csv,3217.09,3247.493
amostra_2343_2744.37.csv,2744.37,2646.2214
amostra_2354_2229.70.csv,2229.7,2226.3064
amostra_2361_1392.40.csv,1392.4,1405.9213
amostra_2367_1424.40.csv,1424.4,1415.8864
amostra_2369_2248.64.csv,2248.64,2257.3218
amostra_2373_2865.89.csv,2865.89,2783.5784
amostra_2376_2020.00.csv,2020.0,2065.2886
amostra_2378_2114.79.csv,2114.79,2061.546
amostra_2381_1658.15.csv,1658.15,1644.0125
amostra_2385_1935.80.csv,1935.8,1837.7622
amostra_2399_2420.47.csv,2420.47,2398.0674
amostra_2402_2917.45.csv,2917.45,2814.7195
amostra_2419_1652.45.csv,1652.45,1614.4052
amostra_2421_2433.26.csv,2433.26,2374.8704
