arquivo,real_kWh,previsto_kWh
amostra_0803_1928.05.csv,1928.05,1918.6775
amostra_0810_3034.11.csv,3034.11,3138.5771
amostra_0814_2301.86.csv,2301.86,2385.6138
amostra_0821_1912.96.csv,1912.96,1895.4215
amostra_0835_875.51.csv,875.51,1172.9967
amostra_0843_2983.46.csv,2983.46,3084.098
amostra_0847_1707.36.csv,1707.36,1864.7373
amostra_0852_2324.81.csv,2324.81,2273.688
amostra_0870_2084.82.csv,2084.82,2281.128
amostra_0873_3940.57.csv,3940.57,3902.2678
amostra_0875_3266.23.csv,3266.23,3492.8333
amostra_0883_2089.85.csv,2089.85,2049.88
amostra_0891_2154.78.csv,2154.78,2360.6194
amostra_0898_2391.35.csv,2391.35,2327.3179
amostra_0908_3645.54.csv,3645.54,3731.711
amostra_0909_2316.55.csv,2316.55,2373.7922
amostra_0917_3288.29.csv,3288.29,3439.5063
amostra_0920_2650.49.csv,2650.49,2844.7847
amostra_0924_1817.94.csv,1817.94,1715.7781
amostra_0929_2021.19.csv,2021.19,2164.4424
amostra_0932_2632.20.csv,2632.2,2687.4836
amostra_0940_2037.78.csv,2037.78,2171.5723
amostra_0943_3410.22.csv,3410.22,3658.9707
amostra_0947_2654.24.csv,2654.24,2889.6846
amostra_0949_2738.06.csv,2738.06,2558.461
amostra_0951_3461.53.csv,3461.53,3472.5376
amostra_0955_1719.94.csv,1719.94,1748.3953
amostra_0962_2968.23.csv,2968.23,3080.4614
amostra_0967_2485.66.csv,2485.66,2720.1606
amostra_0985_2342.97.csv,2342.97,2553.3994
amostra_0987_2161.01.csv,2161.01,2202.4758
amostra_0988_2073.85.csv,2073.85,2074.369
amostra_0991_2419.13.csv,2419.13,2652.7751
amostra_0999_2759.47.csv,2759.47,2826.4038
amostra_1005_2484.32.csv,2484.32,2256.0354
amostra_1023_3035.07.csv,3035.07,3033.4807
amostra_1024_3108.16.csv,3108.16,3205.9092
amostra_1027_4353.11.csv,4353.11,4373.5024
amostra_1039_3430.12.csv,3430.12,3533.0645
amostra_1041_1831.86.csv,1831.86,1961.4596
amostra_1042_3170.58.csv,3170.58,3384.504
amostra_1045_1681.42.csv,1681.42,1718.7262
amostra_1055_2647.63.csv,2647.63,2399.0237
amostra_1057_2788.80.csv,2788.8,2765.1533
amostra_1061_2621.51.csv,2621.51,2795.8604
amostra_1070_2676.56.csv,2676.56,2500.1843
amostra_1072_2609.66.csv,2609.66,2638.7056
amostra_1073_2765.53.csv,2765.53,2850.3357
amostra_1077_2755.79.csv,2755.79,2751.6794
amostra_1078_3101.47.csv,3101.47,3122.8936
amostra_1081_1548.57.csv,1548.57,1827.5651
amostra_1091_2387.11.csv,2387.11,2636.9736
amostra_1095_2339.62.csv,2339.62,2492.4543
amostra_1096_2709.91.csv,2709.91,2817.9846
amostra_1102_1871.91.csv,1871.91,1834.1001
amostra_1106_2888.83.csv,2888.83,2805.2637
amostra_1108_2574.07.csv,2574.07,2657.2585
amostra_1114_1546.13.csv,1546.13,1707.2622
amostra_1119_1507.38.csv,1507.38,1734.8634
amostra_1123_3016.02.csv,3016.02,3053.9202
amostra_1128_1960.64.csv,1960.64,2122.238
amostra_1133_3201.83.csv,3201.83,3294.3276
amostra_1136_2574.47.csv,2574.47,2683.132
amostra_1139_2152.87.csv,2152.87,2177.812
amostra_1144_1938.78.csv,1938.78,2058.0896
amostra_1150_2715.36.csv,2715.36,2691.014
amostra_1152_3194.03.csv,3194.03,3298.051
amostra_1153_2510.56.csv,2510.56,2354.8818
amostra_1157_2411.96.csv,2411.96,2655.5508
amostra_1162_2238.67.csv,2238.67,2255.1755
amostra_1163_2938.17.csv,2938.17,3112.315
amostra_1165_2812.93.csv,2812.93,2699.6216
amostra_1166_2601.59.csv,2601.59,2643.4746
amostra_1169_2513.01.csv,2513.01,2616.1792
amostra_1173_2503.59.csv,2503.59,2503.2283
amostra_1175_2968.48.csv,2968.48,3194.7527
amostra_1180_2059.34.csv,2059.34,2199.59
amostra_1184_3350.80.csv,3350.8,3321.1326
amostra_1185_1622.44.csv,1622.44,1701.0542
amostra_1193_2315.53.csv,2315.53,2255.6658
amostra_1194_2418.87.csv,2418.87,2658.968
amostra_1207_3196.34.csv,3196.34,3447.2766
amostra_1209_2836.63.csv,2836.63,2736.0752
amostra_1213_3179.63.csv,3179.63,3161.303
amostra_1230_3366.56.csv,3366.56,3606.1482
amostra_1233_1733.67.csv,1733.67,1905.0668
amostra_1238_1999.16.csv,1999.16,1954.4496
amostra_1239_2214.42.csv,2214.42,2302.324
amostra_1246_2680.50.csv,2680.5,2722.435
amostra_1250_2407.37.csv,2407.37,2570.791
amostra_1258_3674.16.csv,3674.16,3769.53
amostra_1264_1693.16.csv,1693.16,1710.9061
amostra_1265_1831.47.csv,1831.47,2012.8529
amostra_1274_2031.96.csv,2031.96,2270.9417
amostra_1277_1963.03.csv,1963.03,2109.4595
amostra_1279_2406.61.csv,2406.61,2480.1604
amostra_1281_3648.42.csv,3648.42,3657.5554
amostra_1283_2220.39.csv,2220.39,2446.1533
amostra_1284_3179.57.csv,3179.57,3353.0745
amostra_1287_1988.81.csv,1988.81,2132.665
amostra_1295_3157.79.csv,3157.79,3248.066
amostra_1296_1590.97.csv,1590.97,1618.5602
amostra_1306_2513.27.csv,2513.27,2565.6465
amostra_1313_2401.55.csv,2401.55,2578.5574
amostra_1326_1712.13.csv,1712.13,1852.6698
amostra_1329_2004.88.csv,2004.88,2059.0688
amostra_1336_2197.44.csv,2197.44,2223.8767
amostra_1340_2781.28.csv,2781.28,3008.162
amostra_1344_2492.12.csv,2492.12,2642.0723
amostra_1349_2881.20.csv,2881.2,3050.9714
amostra_1353_1393.69.csv,1393.69,1618.7545
amostra_1354_2208.87.csv,2208.87,2275.8206
amostra_1362_2700.01.csv,2700.01,2831.0942
amostra_1368_1661.81.csv,1661.81,1702.2865
amostra_1370_2767.58.csv,2767.58,2789.1638
amostra_1376_1477.30.csv,1477.3,1633.0736
amostra_1378_2655.21.csv,2655.21,2851.9316
amostra_1380_2886.82.csv,2886.82,3083.1501
amostra_1384_1592.14.csv,1592.14,1710.7725
amostra_1385_2678.45.csv,2678.45,2643.937
amostra_1394_3355.54.csv,3355.54,3452.6184
amostra_1408_3174.44.csv,3174.44,3275.4778
amostra_1409_1713.57.csv,1713.57,1561.7137
amostra_1410_1298.56.csv,1298.56,1474.7239
amostra_1411_2869.17.csv,2869.17,2765.702
amostra_1433_1900.98.csv,1900.98,1975.2036
amostra_1441_3541.12.csv,3541.12,3570.0278
amostra_1444_3067.79.csv,3067.79,3130.332
