amostra,valor_real,valor_predito,valor_predito_corrigido
amostra_0317_2636.00.csv,2636.0,2643.461669921875,2664.1156726575227
amostra_0318_1457.07.csv,1457.07,1438.61865234375,1446.5882376287884
amostra_0319_2771.94.csv,2771.94,2841.271728515625,2863.7709136551503
amostra_0321_3618.54.csv,3618.54,3596.546630859375,3625.475318242107
amostra_0323_2628.37.csv,2628.37,2625.47900390625,2645.9619440644833
amostra_0334_4218.52.csv,4218.52,4136.0283203125,4168.952022175834
amostra_0335_3735.97.csv,3735.97,3704.44287109375,3734.210392862918
amostra_0336_2755.53.csv,2755.53,2697.409912109375,2718.5737855410507
amostra_0340_2264.38.csv,2264.38,2211.876220703125,2228.272017299326
amostra_0341_2368.35.csv,2368.35,2373.720703125,2391.7506691580543
amostra_0343_2457.50.csv,2457.5,2445.651611328125,2464.393491295184
amostra_0346_2306.99.csv,2306.99,2283.80712890625,2300.9347555582212
amostra_0347_2684.47.csv,2684.47,2697.409912109375,2718.5737855410507
amostra_0351_3412.68.csv,3412.68,3398.736572265625,3426.0756677729837
amostra_0355_2649.59.csv,2649.59,2607.496337890625,2627.807662249387
amostra_0357_1657.08.csv,1657.08,1600.4632568359375,1610.2811113284515
amostra_0361_2086.48.csv,2086.48,2085.9970703125,2101.0908644794185
amostra_0366_2575.26.csv,2575.26,2517.58251953125,2537.0274618193025
amostra_0374_2049.70.csv,2049.7,2050.031494140625,2064.7483074763772
amostra_0383_3205.28.csv,3205.28,3128.99560546875,3154.0591967837076
amostra_0385_3138.73.csv,3138.73,3182.943603515625,3208.4722520635346
amostra_0400_2478.48.csv,2478.48,2445.651611328125,2464.393491295184
amostra_0402_2253.22.csv,2253.22,2247.841552734375,2264.604369568136
amostra_0403_3329.26.csv,3329.26,3290.840087890625,3317.2839180054293
amostra_0410_3448.70.csv,3448.7,3434.701904296875,3462.334994459771
amostra_0422_3645.28.csv,3645.28,3596.546630859375,3625.475318242107
amostra_0423_2971.68.csv,2971.68,2931.185546875,2954.501323641871
amostra_0424_1918.45.csv,1918.45,1906.169677734375,1919.356443815934
amostra_0428_3766.93.csv,3766.93,3794.356689453125,3824.8080283465197
amostra_0430_2330.78.csv,2330.78,2301.789794921875,2319.098995407913
amostra_0435_1841.59.csv,1841.59,1798.2733154296875,1810.289310586446
amostra_0437_1640.45.csv,1640.45,1636.4287109375,1646.651206279847
amostra_0445_2168.74.csv,2168.74,2157.927978515625,2173.769093068595
